"StudentID","Earned Points","Possible Points","PercentCorrect","Stu1","PriKey1","Points1","Mark1","Stu2","PriKey2","Points2","Mark2","Stu3","PriKey3","Points3","Mark3","Stu4","PriKey4","Points4","Mark4","Stu5","PriKey5","Points5","Mark5","Stu6","PriKey6","Points6","Mark6","Stu7","PriKey7","Points7","Mark7","Stu8","PriKey8","Points8","Mark8"
"63730","66.6","88.8","75","C","D","0","X","B","D","0","X","AE","AE","11.1","C","B","B","11.1","C","B","B","11.1","C","AD","AD","11.1","C","B","B","11.1","C","C","C","11.1","C"
"63425","44.4","88.8","50","BD","C","0","X","D","D","11.1","C","AC","BC","0","X","A","A","11.1","C","B","C","0","X","A","A","11.1","C","BDE","DE","0","X","C","C","11.1","C"
"98673","33.3","88.8","37.5","B","C","0","X","D","D","11.1","C","AC","BC","0","X","A","A","11.1","C","D","C","0","X","A","A","11.1","C","CD","DE","0","X","B","C","0","X"
"35858","77.7","88.8","87.5","B","B","11.1","C","B","B","11.1","C","CD","CD","11.1","C","A","A","11.1","C","B","B","11.1","C","ACD","AC","0","X","A","A","11.1","C","C","C","11.1","C"
"23278","33.3","88.8","37.5","B","B","11.1","C","B","B","11.1","C","AC","CD","0","X","A","A","11.1","C","C","B","0","X","CD","AC","0","X","AB","A","0","X","B","C","0","X"
"50578","38.8","88.8","43.69","B","B","11.1","C","B","B","11.1","C","D","CD","5.5","P","A","A","11.1","C","C","B","0","X","CD","AC","0","X","AC","A","0","X","A","C","0","X"
"86328","49.9","88.8","56.19","B","B","11.1","C","B","B","11.1","C","C","CD","5.5","P","A","A","11.1","C","E","B","0","X","CD","AC","0","X","CE","A","0","X","C","C","11.1","C"
"10655","38.8","88.8","43.69","C","C","11.1","C","B","D","0","X","C","BC","5.5","P","A","A","11.1","C","B","C","0","X","A","A","11.1","C","CD","DE","0","X","B","C","0","X"
"4209","38.8","88.8","43.69","C","D","0","X","D","D","11.1","C","AC","AE","0","X","BE","B","0","X","B","B","11.1","C","D","AD","5.5","P","B","B","11.1","C","A","C","0","X"
"81245","44.3","88.8","49.89","D","C","0","X","D","D","11.1","C","C","BC","5.5","P","B","A","0","X","A","C","0","X","A","A","11.1","C","D","DE","5.5","P","C","C","11.1","C"
"81083","61","88.8","68.69","C","C","11.1","C","A","D","0","X","AC","BC","0","X","A","A","11.1","C","C","C","11.1","C","A","A","11.1","C","D","DE","5.5","P","C","C","11.1","C"
"59916","61","88.8","68.69","D","D","11.1","C","C","D","0","X","A","AE","5.5","P","B","B","11.1","C","B","B","11.1","C","BD","AD","0","X","B","B","11.1","C","C","C","11.1","C"
"3728","44.4","88.8","50","A","C","0","X","D","D","11.1","C","E","BC","0","X","A","A","11.1","C","B","C","0","X","A","A","11.1","C","CD","DE","0","X","C","C","11.1","C"
"41100","22.2","88.8","25","B","D","0","X","A","D","0","X","AC","AE","0","X","A","B","0","X","B","B","11.1","C","C","AD","0","X","B","B","11.1","C","D","C","0","X"
"41615","22.2","88.8","25","A","B","0","X","B","B","11.1","C","ACD","CD","0","X","A","A","11.1","C","A","B","0","X","CDE","AC","0","X","BCD","A","0","X","A","C","0","X"
"51762","66.6","88.8","75","D","D","11.1","C","D","D","11.1","C","ACD","AE","0","X","B","B","11.1","C","B","B","11.1","C","BD","AD","0","X","B","B","11.1","C","C","C","11.1","C"
"53647","27.7","88.8","31.19","B","D","0","X","CD","D","0","X","A","AE","5.5","P","BC","B","0","X","B","B","11.1","C","AC","AD","0","X","B","B","11.1","C","A","C","0","X"
"20533","38.8","88.8","43.69","CE","C","0","X","D","D","11.1","C","C","BC","5.5","P","A","A","11.1","C","A","C","0","X","A","A","11.1","C","ACE","DE","0","X","A","C","0","X"
"96391","22.2","88.8","25","A","B","0","X","B","B","11.1","C","BCD","CD","0","X","A","A","11.1","C","C","B","0","X","CD","AC","0","X","BD","A","0","X","A","C","0","X"
"96796","55.5","88.8","62.5","D","D","11.1","C","D","D","11.1","C","ACE","AE","0","X","BE","B","0","X","B","B","11.1","C","CD","AD","0","X","B","B","11.1","C","C","C","11.1","C"
"12890","33.3","88.8","37.5","B","B","11.1","C","B","B","11.1","C","DE","CD","0","X","B","A","0","X","D","B","0","X","AC","AC","11.1","C","B","A","0","X","A","C","0","X"
"15139","22.2","88.8","25","B","D","0","X","C","D","0","X","AC","AE","0","X","CD","B","0","X","B","B","11.1","C","ABC","AD","0","X","B","B","11.1","C","B","C","0","X"
